[Header]
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
FILEOPENTIME, 1711665277.201679, 03/28/2024, 15:34:37 PM
BYAPP, MultiVuDataFile Python class
TITLE, Hallbar data
DATATYPE, COMMENT,1
DATATYPE, TIME,2
TIMEMODE, SECONDS, RELATIVE
STARTUPGROUP, All
STARTUPAXIS, X, 2, LINEAR, AUTO
[Data]
"Comment","Time Stamp (sec)","Time","Temperature","Field","Chamber Status","Resistance"
,1711665466.931613,0,5.0,-1000.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665467.913025,1,5.0,-1000.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665468.898391,2,5.0,-988.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665469.879766,3,5.0,-970.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665470.863138,4,5.0,-952.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665471.844548,5,5.0,-928.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665472.828992,6,5.0,-910.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665473.824321,7,5.0,-892.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665474.806761,8,5.0,-874.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665475.79016,9,5.0,-850.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665476.773564,10,5.0,-832.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665477.756967,11,5.0,-814.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665478.737377,12,5.0,-790.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665479.722746,13,5.0,-772.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665480.71712,14,5.0,-754.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665481.701492,15,5.0,-736.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665482.685892,16,5.0,-712.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665483.669276,17,5.0,-694.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665484.649674,18,5.0,-676.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665485.634111,19,5.0,-658.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665486.629518,20,5.0,-634.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665487.61588,21,5.0,-616.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665488.597283,22,5.0,-598.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665489.581684,23,5.0,-580.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665490.566178,24,5.0,-556.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665491.548553,25,5.0,-538.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665492.532923,26,5.0,-520.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665493.520289,27,5.0,-502.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665494.500674,28,5.0,-478.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665495.486034,29,5.0,-460.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665496.482403,30,5.0,-442.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665497.46584,31,5.0,-418.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665498.447289,32,5.0,-400.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665499.432614,33,5.0,-382.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665500.416989,34,5.0,-364.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665501.39939,35,5.0,-340.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665502.378838,36,5.0,-322.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665503.365235,37,5.0,-304.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665504.346643,38,5.0,-286.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665505.330043,39,5.0,-262.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665506.312457,40,5.0,-244.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665507.294871,41,5.0,-226.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665508.279266,42,5.0,-208.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665509.26463,43,5.0,-184.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665510.245168,44,5.0,-166.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665511.228567,45,5.0,-148.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665512.211937,46,5.0,-130.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665513.195307,47,5.0,-106.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665514.178718,48,5.0,-88.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665515.164111,49,5.0,-70.0,Purged and Sealed,(50.0, 'Call was successful')
,1711665516.145481,50,5.0,-52.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666136.588327,0,5.0,-1000.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666137.597966,1,5.0,-1000.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666138.613294,2,5.0,-988.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666139.628578,3,5.0,-970.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666140.628901,4,5.0,-946.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666141.644185,5,5.0,-928.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666142.656477,6,5.0,-910.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666143.671245,7,5.0,-886.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666144.684534,8,5.0,-868.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666145.700855,9,5.0,-850.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666146.716179,10,5.0,-826.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666147.731466,11,5.0,-808.0,Purged and Sealed,(50.0, 'Call was successful')
,1711666148.732786,12,5.0,-790.0,Purged and Sealed,(50.0, 'Call was successful')
